06/22/2025 06:06:25.332 | DEBUG | chess.engine | engine._line_received | <UciProtocol (pid=25383)>: >> info depth 3 seldepth 3 multipv 1 score cp 161 nodes 357 nps 119000 tbhits 0 time 3 pv e2e4 b7b6 d2d4
06/22/2025 06:06:25.332 | DEBUG | chess.engine | engine._line_received | <UciProtocol (pid=25383)>: >> info depth 4 seldepth 4 multipv 1 score cp 84 nodes 1123 nps 224600 tbhits 0 time 5 pv e2e4 d7d5 b1c3 e7e6
06/22/2025 06:06:25.332 | DEBUG | chess.engine | engine._line_received | <UciProtocol (pid=25383)>: >> info depth 5 seldepth 5 multipv 1 score cp 133 nodes 1436 nps 239333 tbhits 0 time 6 pv e2e4 d7d5
06/22/2025 06:06:25.346 | DEBUG | chess.engine | engine._line_received | <UciProtocol (pid=25383)>: >> info depth 6 seldepth 6 multipv 1 score cp 67 nodes 3966 nps 247875 tbhits 0 time 16 pv g1f3 b8c6 b1c3 d7d5 d2d4 g8f6
06/22/2025 06:06:25.369 | DEBUG | chess.engine | engine._line_received | <UciProtocol (pid=25383)>: >> info depth 7 seldepth 7 multipv 1 score cp 45 nodes 10676 nps 273743 tbhits 0 time 39 pv d2d4 d7d5 b1c3 g8f6 c1f4 e7e6 d1d3
06/22/2025 06:06:25.398 | DEBUG | chess.engine | engine._line_received | <UciProtocol (pid=25383)>: >> info depth 8 seldepth 9 multipv 1 score cp 89 nodes 18933 nps 300523 tbhits 0 time 63 pv e2e4 d7d5 e4d5 d8d5 b1c3 d5e5 d1e2
06/22/2025 06:06:25.445 | DEBUG | chess.engine | engine._line_received | <UciProtocol (pid=25383)>: >> info depth 9 seldepth 11 multipv 1 score cp 84 nodes 36374 nps 300611 tbhits 0 time 121 pv e2e4 d7d5 e4d5 d8d5 b1c3 d5e6 d1e2 g8f6
06/22/2025 06:06:25.626 | DEBUG | chess.engine | engine._line_received | <UciProtocol (pid=25383)>: >> info depth 10 seldepth 13 multipv 1 score cp 53 nodes 121745 nps 403129 tbhits 0 time 302 pv e2e4 e7e5 b1c3 f8c5 g1f3 b8c6 f3e5 c5f2 e1f2 c6e5 d2d4
06/22/2025 06:06:25.771 | DEBUG | chess.engine | engine._line_received | <UciProtocol (pid=25383)>: >> info depth 11 seldepth 15 multipv 1 score cp 60 nodes 194378 nps 434850 tbhits 0 time 447 pv e2e4 e7e5 b1c3 g8f6 g1f3 b8c6 f1c4 f8c5 a2a3 e8g8 e1g1
06/22/2025 06:06:26.136 | DEBUG | chess.engine | engine._line_received | <UciProtocol (pid=25383)>: >> info depth 12 seldepth 17 multipv 1 score cp 86 nodes 319652 nps 394145 tbhits 0 time 811 pv e2e4 e7e5 d2d4 e5d4 d1d4 d8e7 b1c3 b8c6 d4e3 g8f6
06/22/2025 06:06:26.758 | DEBUG | chess.engine | engine._line_received | <UciProtocol (pid=25383)>: >> info depth 13 seldepth 16 multipv 1 score cp 60 nodes 612144 nps 426878 hashfull 340 tbhits 0 time 1434 pv e2e4 c7c5 b1c3 e7e6 g1f3 a7a6 a2a3 g8e7 d2d4 c5d4 f3d4 b8c6 d4c6
06/22/2025 06:06:27.330 | DEBUG | chess.engine | engine._line_received | <UciProtocol (pid=25383)>: >> info depth 14 seldepth 18 multipv 1 score cp 69 nodes 837404 nps 417866 hashfull 469 tbhits 0 time 2004 pv e2e4 e7e5 g1f3 b8c6 f1c4 g8f6 b1c3 f8b4 c3d5 f6d5 c4d5 e8g8 a2a3
06/22/2025 06:06:27.330 | DEBUG | chess.engine | engine._line_received | <UciProtocol (pid=25383)>: >> bestmove e2e3 ponder e7e6
06/22/2025 06:17:20.339 | DEBUG | chess.engine | engine.send_line | <UciProtocol (pid=25383)>: << quit
06/22/2025 06:17:20.357 | DEBUG | chess.engine | engine.process_exited | <UciProtocol (pid=25383)>: Process exited
06/22/2025 06:17:20.357 | DEBUG | chess.engine | engine.connection_lost | <UciProtocol (pid=25383)>: Connection lost (exit code: 0, error: None)
